"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3260334";"";"None";"368.66";"0";"4.03";"2";"Clc1cccc(COc2ccc(Br)cc2OC2CNC2)c1";"Ki";"'='";"47.0";"nM";"7.33";"";"";"UO_0000065";"19.88";"0.48";"3.30";"24.03";"0";"CHEMBL3271325";"Binding affinity to human 5HT6 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259547";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"None";"";"";"";"0.047"
"CHEMBL3289966";"";"None";"487.68";"0";"3.79";"26";"O=S(=O)(NCCCCN1CCN(c2nsc3ccccc23)CC1)c1cccc2scnc12";"Ki";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"14.19";"0.30";"3.13";"8.82";"0";"CHEMBL3297241";"Displacement of [3H]LSDm from human recombinant 5-HT6 receptor expressed in HEK293 cell membrane after 60 mins by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286108";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307715";"";"";"";"120.0"
"CHEMBL3289971";"";"None";"452.94";"0";"3.11";"31";"O=S(=O)(NCCCN1CCN(c2noc3ccccc23)CC1)c1ccc(F)c(Cl)c1";"Ki";"'='";"330.0";"nM";"6.48";"";"";"UO_0000065";"14.31";"0.30";"3.37";"8.24";"0";"CHEMBL3297241";"Displacement of [3H]LSDm from human recombinant 5-HT6 receptor expressed in HEK293 cell membrane after 60 mins by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286108";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307715";"";"";"";"330.0"
"CHEMBL2031874";"";"None";"391.52";"0";"3.15";"39";"CN(C)C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2034399";"Binding affinity to 5-HT6 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2029265";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"10.0"
"CHEMBL348890";"";"None";"455.43";"1";"6.48";"10";"O=C1Nc2ccc(Cl)c3c2C1(CCCCN1CC=C(c2ccc(Cl)cc2)CC1)CCC3";"Ki";"'<'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL620814";"Binding affinity towards human recombinant 5-hydroxytryptamine 7 receptor by the displacement of [3H]-5-CT]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136421";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"-6.0"
"CHEMBL1834227";"";"None";"356.88";"0";"2.71";"7";"CCCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC(CC)C=N1";"Ki";"'='";"14.6";"nM";"7.84";"";"";"UO_0000065";"21.96";"0.47";"5.13";"10.57";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"14.6"
"CHEMBL1834229";"";"None";"314.80";"0";"1.67";"9";"CCC1C=NN(/C(N)=N/S(=O)(=O)c2cccc(Cl)c2)C1";"Ki";"'='";"24.2";"nM";"7.62";"";"";"UO_0000065";"24.19";"0.52";"5.95";"8.64";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"24.2"
"CHEMBL1834350";"";"None";"383.91";"0";"1.67";"47";"CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC2(C=N1)CCNCC2";"Ki";"'='";"7.2";"nM";"8.14";"";"";"UO_0000065";"21.21";"0.44";"6.47";"9.45";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"7.2"
"CHEMBL1834226";"";"None";"342.85";"0";"2.32";"6";"CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC(CC)C=N1";"Ki";"'='";"7.9";"nM";"8.10";"";"";"UO_0000065";"23.63";"0.50";"5.78";"10.93";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"7.9"
"CHEMBL1834230";"";"None";"328.83";"0";"1.93";"10";"CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC(C)C=N1";"Ki";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"24.62";"0.53";"6.17";"10.92";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"8.0"
"CHEMBL411663";"";"None";"367.47";"0";"3.85";"12e";"O=C1Nc2ccc(F)cc2C1CCCCN1CCN(c2ccccc2)CC1";"Ki";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"15.63";"0.29";"1.89";"16.15";"0";"CHEMBL927097";"Inhibition of 5HT6 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144747";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"1800.0"
"CHEMBL260994";"";"None";"383.92";"0";"4.37";"12d";"O=C1Nc2ccccc2C1CCCCN1CCN(c2ccc(Cl)cc2)CC1";"Ki";"'='";"580.0";"nM";"6.24";"";"";"UO_0000065";"16.24";"0.32";"1.87";"17.53";"0";"CHEMBL927097";"Inhibition of 5HT6 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144747";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"580.0"
"CHEMBL1834334";"";"None";"377.30";"0";"2.98";"29";"CCN/C(=N\S(=O)(=O)c1cc(Cl)cc(Cl)c1)N1CC(CC)C=N1";"Ki";"'='";"21.9";"nM";"7.66";"";"";"UO_0000065";"20.30";"0.45";"4.68";"10.33";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"21.9"
"CHEMBL175835";"";"None";"427.96";"0";"4.88";"19e";"CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3ccc4c(Cl)cccc4c3)cc12";"Ki";"'='";"0.2";"nM";"9.70";"";"";"UO_0000065";"22.66";"0.46";"4.82";"14.88";"0";"CHEMBL826384";"Inhibition of [3H]LSD binding to human 5-hydroxytryptamine 6 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145196";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3307715";"";"";"";"0.2"
"CHEMBL370779";"";"None";"341.44";"0";"2.29";"6";"O=S(=O)(c1ccccc1)n1ccc2c(N3CCNCC3)cccc21";"Ki";"'='";"0.3162";"nM";"9.50";"";"";"UO_0000065";"27.82";"0.54";"7.21";"17.48";"0";"CHEMBL872163";"Displacement of [3H]LSD from human 5-hydroxytryptamine 6 receptor expressed in HeLa cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143480";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"CHEMBL3308376";"";"";"";"-9.5"
"CHEMBL183757";"";"None";"442.49";"0";"3.08";"1f";"O=C(O)C(=O)O.O=S(=O)(c1ccccc1)c1ccc(N2CCNCC2)c2ccccc12";"Ki";"'='";"3.8";"nM";"8.42";"";"";"UO_0000065";"23.89";"0.46";"5.34";"17.04";"0";"CHEMBL838622";"Binding affinity against 5 Hydroxy tryptamine 6 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142049";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"3.8"
"CHEMBL9666";"";"None";"192.26";"0";"1.10";"3";"COc1ccccc1N1CCNCC1";"Ki";"'='";"1.2";"nM";"8.92";"";"";"UO_0000065";"46.40";"0.87";"7.82";"36.41";"0";"CHEMBL838622";"Binding affinity against 5 Hydroxy tryptamine 6 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142049";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"1.2"
"CHEMBL175884";"";"None";"474.05";"1";"5.78";"19r";"Cc1c(S(=O)(=O)Nc2ccc3[nH]cc(CCN4CCCC4)c3c2)sc2ccc(Cl)cc12";"Ki";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"17.72";"0.37";"2.62";"12.88";"0";"CHEMBL826384";"Inhibition of [3H]LSD binding to human 5-hydroxytryptamine 6 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145196";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3307715";"";"";"";"4.0"
"CHEMBL362063";"";"None";"474.05";"1";"5.95";"20a";"Cc1c(S(=O)(=O)Nc2ccc3[nH]cc(C4CCN(C)CC4)c3c2)sc2ccc(Cl)cc12";"Ki";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"18.99";"0.40";"3.05";"13.80";"0";"CHEMBL826384";"Inhibition of [3H]LSD binding to human 5-hydroxytryptamine 6 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145196";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3307715";"";"";"";"1.0"
"CHEMBL1112";"ARIPIPRAZOLE";"4.0";"448.39";"0";"4.86";"Aripiprazole";"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1";"Ki";"'='";"199.53";"nM";"6.70";"";"";"UO_0000065";"14.94";"0.31";"1.84";"14.95";"0";"CHEMBL895624";"Displacement of [3H]LSD from human 5HT6 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148822";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";"";"";"-6.7"
"CHEMBL1642417";"";"None";"411.57";"0";"4.14";"7f";"CCN1CCN(c2cn(S(=O)(=O)c3ccc(C(C)C)cc3)c3ccccc23)CC1";"Ki";"'='";"8.6";"nM";"8.07";"";"";"UO_0000065";"19.60";"0.38";"3.93";"17.71";"0";"CHEMBL1647453";"Displacement of [3H]LSD from human cloned 5HT6 receptor expressed in human HeLa cells by glass fiber filtration assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641587";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308376";"";"";"";"8.6"
"CHEMBL1642421";"";"None";"476.44";"0";"4.52";"7j";"CC(C)c1ccc(S(=O)(=O)n2cc(N3CCN(C)CC3)c3cc(Br)ccc32)cc1";"Ki";"'='";"23.2";"nM";"7.63";"";"";"UO_0000065";"16.02";"0.36";"3.11";"16.76";"0";"CHEMBL1647453";"Displacement of [3H]LSD from human cloned 5HT6 receptor expressed in human HeLa cells by glass fiber filtration assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641587";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308376";"";"";"";"23.2"
"CHEMBL1642426";"";"None";"446.02";"0";"4.80";"7o";"CCN1CCN(c2cn(S(=O)(=O)c3ccc(C(C)C)cc3)c3ccc(Cl)cc23)CC1";"Ki";"'='";"30.5";"nM";"7.52";"";"";"UO_0000065";"16.85";"0.34";"2.72";"16.50";"0";"CHEMBL1647453";"Displacement of [3H]LSD from human cloned 5HT6 receptor expressed in human HeLa cells by glass fiber filtration assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641587";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308376";"";"";"";"30.5"
"CHEMBL1642427";"";"None";"433.96";"0";"3.68";"7p";"CCN1CCN(c2cn(S(=O)(=O)c3ccc(OC)cc3)c3cc(Cl)ccc23)CC1";"Ki";"'='";"82.3";"nM";"7.08";"";"";"UO_0000065";"16.33";"0.33";"3.40";"12.93";"0";"CHEMBL1647453";"Displacement of [3H]LSD from human cloned 5HT6 receptor expressed in human HeLa cells by glass fiber filtration assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641587";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308376";"";"";"";"82.3"
"CHEMBL105261";"";"None";"286.38";"0";"2.72";"3w";"CCC(=O)Nc1ccc2[nH]cc(C3CCN(C)CC3)c2n1";"Ki";"'='";"1120.0";"nM";"5.95";"";"";"UO_0000065";"20.78";"0.39";"3.23";"9.75";"0";"CHEMBL618240";"In vitro binding affinity by radioligand binding assay using cell line expressing human 5-hydroxytryptamine 6 receptor";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145835";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"1120.0"
"CHEMBL317535";"";"None";"260.34";"0";"2.45";"42";"CCOC(=O)c1[nH]c2ccccc2c1CCN(C)C";"Ki";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"29.57";"0.55";"5.25";"16.98";"0";"CHEMBL618094";"Binding affinity as displacement of [3H]5-HT binding to 5-hydroxytryptamine 6 receptor in HeLa cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HeLa";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134783";"1";"Scientific Literature";"J Med Chem";"2001";"CHEMBL3308376";"";"";"";"20.0"
"CHEMBL369034";"";"None";"462.04";"1";"5.49";"18f";"Cc1c(S(=O)(=O)Nc2ccc3cc(C)n(CCN(C)C)c3c2)sc2ccc(Cl)cc12";"Ki";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL826384";"Inhibition of [3H]LSD binding to human 5-hydroxytryptamine 6 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145196";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3307715";"";"";"";"1000.0"
